"","자치구","평균생활인구","점포수","평균공시지가","지하철역수","상권변화지표","만족도지표","성비","영화관","노령화지수"
"1","강남구",786141.100883299,153,1076.37966462304,21,1,6.08,91.44,9,120.9
"2","강동구",503065.174853447,45,392.683485515723,14,1,5,96,3,136
"3","강북구",294209.744717431,28,251.397585072271,3,1,5.97,93.12,3,267.4
"4","강서구",538723.469586324,75,270.846646742656,9,1,5.86,93.22,5,158.8
"5","관악구",469004.265904121,48,377.858061068033,4,1,5.87,99.43,2,242.1
"6","광진구",354362.139466747,49,416.44533927702,11,1,5.83,93.15,5,169.9
"7","구로구",382433.653993744,50,283.606504799707,7,3,5.9,98.41,3,170.6
"8","금천구",218658.003643402,38,281.092497469052,1,1,5.91,103.26,2,210.4
"9","노원구",508080.116693721,45,248.894958033457,13,1,5.96,93.17,5,162.8
"10","도봉구",274932.918100023,22,229.687459395115,3,1,5.83,93.91,1,224.4
"11","동대문구",343347.061613562,37,358.666708402412,6,4,5.86,96.48,1,201.4
"12","동작구",377430.215680537,39,403.108085128231,12,4,5.95,92.99,2,183.3
"13","마포구",438452.891444201,81,587.997338388145,16,1,5.96,88.03,7,144.5
"14","서대문구",353612.006986473,44,363.26409976943,5,4,6.02,88.01,5,181.4
"15","서초구",555706.663749863,82,641.577975520728,12,4,6.1,91.22,3,110
"16","성동구",340106.213925765,40,435.373818542501,14,2,5.96,94.96,2,162.6
"17","성북구",415884.011275559,51,306.070673205207,9,4,5.95,91.65,3,166.1
"18","송파구",735115.068078105,87,552.893980607544,28,1,6.02,92.89,3,125.8
"19","양천구",384186.880879018,44,330.800573505296,5,1,5.86,95.56,2,126.3
"20","영등포구",458187.110566484,67,421.42987908998,11,4,5.95,98.84,3,162.6
"21","용산구",278545.750865502,47,655.287860002397,10,4,5.83,92.94,2,180.6
"22","은평구",435181.23932637,38,308.53932645137,13,1,5.91,91.7,2,191.6
"23","종로구",266700.622316062,57,578.144256275304,15,4,5.92,93.34,8,224.7
"24","중구",243923.430830114,92,976.391268008296,23,4,5.96,92.71,8,241.8
"25","중랑구",351437.51565008,38,286.358908495543,8,1,5.83,96.72,3,212.4
