Date,MSFT,MKrf,SMB,HML,RF
2004-02-01,-4.1349626,1.4,-1.56,0.86,0.06
2004-03-01,-6.22041,-1.32,1.75,0.25,0.09
2004-04-01,4.7012007,-1.83,-1.73,-3.04,0.08
2004-05-01,0.3819804,1.17,-0.24,-0.27,0.06
2004-06-01,8.5103452,1.86,2.26,1.22,0.08
2004-07-01,-0.2453948,-4.06,-3.83,3.36,0.1
2004-08-01,-4.2666632,0.08,-1.55,1.01,0.11
2004-09-01,1.5684792,1.6,3,-0.05,0.11
2004-10-01,1.1506622,1.43,0.11,-0.32,0.11
2004-11-01,-4.2357247,4.54,3.73,1.47,0.15
2004-12-01,10.5079383,3.43,-0.1,-0.13,0.16
2005-01-01,-1.660416,-2.76,-1.69,2.09,0.16
2005-02-01,-4.355297,1.89,-0.53,1.6,0.16
2005-03-01,-3.7062235,-1.97,-1.36,2.14,0.21
2005-04-01,4.5691823,-2.61,-3.97,0.02,0.21
2005-05-01,1.957052,3.65,2.78,-0.61,0.24
2005-06-01,-3.4752747,0.57,2.52,2.84,0.23
2005-07-01,3.0528103,3.92,2.89,-0.85,0.24
2005-08-01,6.6829442,-1.22,-0.95,1.24,0.3
2005-09-01,-5.9193202,0.49,-0.61,0.76,0.29
2005-10-01,-0.1166382,-2.02,-1.23,0.36,0.27
2005-11-01,7.421913,3.61,0.99,-1.21,0.31
2005-12-01,-5.393393,-0.25,-0.46,0.25,0.32
2006-01-01,7.3698104,3.04,5.43,0.9,0.35
2006-02-01,-4.6536993,-0.3,-0.41,-0.31,0.34
2006-03-01,1.5957461,1.46,3.46,0.56,0.37
2006-04-01,-11.9300479,0.73,-1.43,2.39,0.36
2006-05-01,-6.4124329,-3.57,-3.1,2.47,0.43
2006-06-01,3.2185326,-0.35,-0.35,0.93,0.4
2006-07-01,3.2097077,-0.78,-4,2.61,0.4
2006-08-01,6.5940436,2.03,1.05,-1.97,0.42
2006-09-01,6.5901486,1.84,-1.29,0.07,0.41
2006-10-01,4.8528384,3.23,1.69,-0.27,0.41
2006-11-01,2.2388006,1.71,0.78,0.06,0.42
2006-12-01,2.0299857,0.87,-1.13,2.7,0.4
2007-01-01,3.2940513,1.4,0.17,-0.68,0.44
2007-02-01,-9.120324,-1.96,1.31,-0.15,0.38
2007-03-01,-0.7245217,0.68,0.1,-0.81,0.43
2007-04-01,7.1644712,3.49,-2.17,-1.4,0.44
2007-05-01,2.474151,3.24,0.26,-0.63,0.41
2007-06-01,-3.7329846,-1.96,0.76,-1.1,0.4
2007-07-01,-1.6422015,-3.73,-2.46,-3.6,0.4
2007-08-01,-0.900916,0.92,-0.17,-1.98,0.42
2007-09-01,2.8590476,3.22,-2.26,-2.24,0.32
2007-10-01,22.273651,1.8,0.2,-2.76,0.32
2007-11-01,-9.124392,-4.83,-2.77,-1.09,0.34
2007-12-01,6.1120715,-0.87,0.12,-0.57,0.27
2008-01-01,-8.8033763,-6.36,-0.87,3.75,0.21
2008-02-01,-18.1094954,-3.09,-0.35,-0.71,0.13
2008-03-01,4.6345884,-0.93,0.79,0.09,0.17
2008-04-01,0.4920677,4.6,-1.6,-0.98,0.18
2008-05-01,-0.7037557,1.86,3.05,-1.36,0.18
2008-06-01,-2.5343771,-8.44,1.13,-2.66,0.17
2008-07-01,-6.7280928,-0.77,2.45,5.43,0.15
2008-08-01,5.9251631,1.53,3.53,1.54,0.13
2008-09-01,-1.8251027,-9.24,-1.21,6.27,0.15
2008-10-01,-17.8358229,-17.23,-2.52,-2.29,0.08
2008-11-01,-9.9258364,-7.86,-2.87,-6.04,0.03
2008-12-01,-3.2587734,1.74,3.56,0.08,0
2009-01-01,-12.8254342,-8.12,0.36,-11.06,0
2009-02-01,-5.7158635,-10.1,0.18,-6.76,0.01
2009-03-01,13.5632213,8.95,-0.03,3.29,0.02
2009-04-01,9.7929333,10.18,5.15,4.86,0.01
2009-05-01,3.0621895,5.21,-2.58,0.37,0
2009-06-01,13.548456,0.43,2.57,-2.58,0.01
2009-07-01,-1.0572827,7.72,1.88,4.96,0.01
2009-08-01,4.6925363,3.33,-1.12,7.59,0.01
2009-09-01,4.8099231,4.08,2.41,0.87,0.01
2009-10-01,7.5246014,-2.59,-4.18,-4.04,0
2009-11-01,5.8819935,5.56,-2.48,-0.29,0
2009-12-01,4.0146352,2.75,6.12,-0.11,0.01
2010-01-01,-7.8458196,-3.36,0.37,0.29,0
2010-02-01,1.7238596,3.4,1.19,3.18,0
2010-03-01,2.6060258,6.31,1.43,2.16,0.01
2010-04-01,4.1791223,2,4.86,2.93,0.01
2010-05-01,-16.8662754,-7.89,0.15,-2.4,0.01
2010-06-01,-10.9943631,-5.57,-1.84,-4.52,0.01
2010-07-01,11.4833265,6.93,0.17,-0.33,0.01
2010-08-01,-9.5039129,-4.77,-3.03,-1.91,0.01
2010-09-01,4.7862595,9.54,3.94,-3.27,0.01
2010-10-01,8.5274031,3.88,1.04,-2.51,0.01
2010-11-01,-5.4317003,0.6,3.77,-1.02,0.01
2010-12-01,10.5888356,6.82,0.69,3.67,0.01
2011-01-01,-0.6470403,1.99,-2.52,0.75,0.01
2011-02-01,-4.2355859,3.49,1.53,1.36,0.01
2011-03-01,-3.9910098,0.46,2.59,-1.72,0.01
2011-04-01,2.0659406,2.9,-0.38,-2.45,0
2011-05-01,-3.5739457,-1.27,-0.57,-2.16,0
2011-06-01,4.5354421,-1.75,-0.13,-0.48,0
2011-07-01,5.2446403,-2.35,-1.4,-0.83,0
2011-08-01,-2.9631697,-5.99,-3.08,-2.42,0.01
2011-09-01,-6.0153404,-7.59,-3.37,-1.63,0
2011-10-01,6.7572333,11.35,3.36,0.13,0
2011-11-01,-4.0227658,-0.28,-0.13,-0.33,0
2011-12-01,2.2247959,0.74,-0.63,1.73,0
2012-01-01,12.8849753,5.05,2.07,-0.99,0
2012-02-01,7.2171195,4.42,-1.83,0.32,0
2012-03-01,2.2812129,3.11,-0.71,1.19,0
2012-04-01,-0.7467403,-0.85,-0.37,-0.8,0
2012-05-01,-9.2534563,-6.19,0.09,-0.78,0.01
2012-06-01,5.3387098,3.89,0.78,0.63,0
2012-07-01,-3.730032,0.79,-2.62,-0.07,0
2012-08-01,4.4791112,2.55,0.42,1.21,0.01
2012-09-01,-2.8395741,2.73,0.49,1.53,0.01
2012-10-01,-4.1858666,-1.76,-1.13,3.68,0.01
2012-11-01,-6.9643428,0.78,0.54,-0.94,0.01
2012-12-01,1.1558362,1.18,1.45,3.52,0.01
2013-01-01,2.7328509,5.57,0.36,0.91,0
2013-02-01,1.2669707,1.29,-0.41,0.07,0
2013-03-01,3.6965503,4.03,0.75,-0.2,0
