obs,wage,female,nonwhite,union,education,exper,age,wind,femalenonw,lnwage,education_exper,_Ifemale_1,_IfemXeduca_1,_IfemXexper_1,_Inonwhite_1,_InonXeduca_1
1,11.55000019,1,0,0,12,20,38,1,0,2.446685553,240,1,12,20,0,0
2,5,0,0,0,9,9,24,0,0,1.609437943,81,0,0,0,0,0
3,12,0,0,0,16,15,37,1,0,2.484906673,240,0,0,0,0,0
4,7,0,1,1,14,38,58,0,0,1.945910096,532,0,0,0,1,14
5,21.14999962,1,1,0,16,19,41,1,1,3.051639795,304,1,16,19,1,16
6,6.920000076,1,0,0,12,4,22,1,0,1.934415817,48,1,12,4,0,0
7,10,1,0,0,12,14,32,0,0,2.302585125,168,1,12,14,0,0
8,8,1,1,0,12,32,50,0,1,2.079441547,384,1,12,32,1,12
9,15.63000011,0,0,0,18,7,31,1,0,2.749192238,126,0,0,0,0,0
10,18.21999931,1,0,0,18,5,29,1,0,2.902519941,90,1,18,5,0,0
11,20,0,0,0,20,31,57,1,0,2.995732307,620,0,0,0,0,0
12,4.349999905,1,0,0,12,7,25,0,0,1.470175862,84,1,12,7,0,0
13,5,0,0,0,5,31,42,0,0,1.609437943,155,0,0,0,0,0
14,8.25,0,1,0,12,14,32,0,0,2.11021328,168,0,0,0,1,12
15,15,0,0,1,12,15,33,0,0,2.708050251,180,0,0,0,0,0
16,19,1,1,1,14,26,46,0,1,2.944438934,364,1,14,26,1,14
17,18,0,1,1,14,23,43,0,0,2.890371799,322,0,0,0,1,14
18,7.070000172,0,0,1,16,4,26,0,0,1.955860496,64,0,0,0,0,0
19,8,0,0,0,14,16,36,0,0,2.079441547,224,0,0,0,0,0
20,25,0,0,0,14,27,47,1,0,3.218875885,378,0,0,0,0,0
21,17.29999924,1,0,0,12,44,62,1,0,2.850706339,528,1,12,44,0,0
22,16,1,0,0,12,38,56,0,0,2.77258873,456,1,12,38,0,0
23,5,1,0,0,12,19,37,0,0,1.609437943,228,1,12,19,0,0
24,8.25,0,0,0,12,13,31,0,0,2.11021328,156,0,0,0,0,0
