date,MSFT,GE,GM,IBM,DIS,XOM,MKT,RKFREE,MSFT.r,GE.r,GM.r,IBM.r,DIS.r,XOM.r,MKT.r,MSFT.rr,GE.rr,GM.rr,IBM.rr,DIS.rr,XOM.rr,MKT.rr
1995-01-14,-0.02863,0.0098,-0.07715,-0.01871,0.10761,0.02881,0.0204,0.0042,-0.03283,0.0056,-0.08135,-0.02291,0.10341,0.02461,0.0162,-3.283,0.56,-8.135,-2.291,10.341,2.461,1.62
1995-02-14,0.06105,0.06311,0.10161,0.04679,0.04914,0.034,0.03961,0.004,0.05705,0.05911,0.09761,0.04279,0.04514,0.03,0.03561,5.705,5.911,9.761,4.279,4.514,3,3.561
1995-03-14,0.12897,-0.00621,0.03226,0.09136,0.00234,0.04305,0.02704,0.0046,0.12437,-0.01081,0.02766,0.08676,-0.00226,0.03845,0.02244,12.437,-1.081,2.766,8.676,-0.226,3.845,2.244
1995-04-14,0.14938,0.03704,0.02557,0.15221,0.03673,0.04315,0.02505,0.0044,0.14498,0.03264,0.02117,0.14781,0.03233,0.03875,0.02065,14.498,3.264,2.117,14.781,3.233,3.875,2.065
1995-05-14,0.03593,0.03571,0.07036,-0.01453,0.00226,0.03777,0.03401,0.0054,0.03053,0.03031,0.06496,-0.01993,-0.00314,0.03237,0.02861,3.053,3.031,6.496,-1.993,-0.314,3.237,2.861
1995-06-14,0.06716,-0.02095,-0.02344,0.03226,0,-0.01051,0.03117,0.0047,0.06246,-0.02565,-0.02814,0.02756,-0.0047,-0.01521,0.02647,6.246,-2.565,-2.814,2.756,-0.47,-1.521,2.647
1995-07-14,0.00138,0.04656,0.04,0.13411,0.05793,0.02655,0.04078,0.0045,-0.00312,0.04206,0.0355,0.12961,0.05343,0.02205,0.03628,-0.312,4.206,3.55,12.961,5.343,2.205,3.628
1995-08-14,0.0221,-0.00212,-0.02718,-0.04822,-0.04051,-0.04138,0.00931,0.0047,0.0174,-0.00682,-0.03188,-0.05292,-0.04521,-0.04608,0.00461,1.74,-0.682,-3.188,-5.292,-4.521,-4.608,0.461
1995-09-14,-0.02162,0.08977,-0.00531,-0.08585,0.02,0.05091,0.03636,0.0043,-0.02592,0.08547,-0.00961,-0.09015,0.0157,0.04661,0.03206,-2.592,8.547,-0.961,-9.015,1.57,4.661,3.206
1995-10-14,0.10497,-0.00784,-0.06667,0.0291,0.00593,0.05709,-0.01131,0.0047,0.10027,-0.01254,-0.07137,0.0244,0.00123,0.05239,-0.01601,10.027,-1.254,-7.137,2.44,0.123,5.239,-1.601
1995-11-14,-0.12875,0.06126,0.11543,-0.00386,0.04338,0.02291,0.04271,0.0042,-0.13295,0.05706,0.11123,-0.00806,0.03918,0.01871,0.03851,-13.295,5.706,11.123,-0.806,3.918,1.871,3.851
1995-12-14,0.00717,0.07948,0.09021,-0.05433,-0.01929,0.04847,0.01519,0.0049,0.00227,0.07458,0.08531,-0.05923,-0.02419,0.04357,0.01029,0.227,7.458,8.531,-5.923,-2.419,4.357,1.029
1996-01-14,0.05413,0.06597,-0.00473,0.18741,0.0913,-0.01079,0.02815,0.0043,0.04983,0.06167,-0.00903,0.18311,0.087,-0.01509,0.02385,4.983,6.167,-0.903,18.311,8.7,-1.509,2.385
1996-02-14,0.06689,-0.01629,-0.01853,0.13249,0.01946,0,0.0163,0.0039,0.06299,-0.02019,-0.02243,0.12859,0.01556,-0.0039,0.0124,6.299,-2.019,-2.243,12.859,1.556,-0.39,1.24
1996-03-14,0.04497,0.03755,0.03902,-0.09276,-0.02481,0.02516,0.01093,0.0039,0.04107,0.03365,0.03512,-0.09666,-0.02871,0.02126,0.00703,4.107,3.365,3.512,-9.666,-2.871,2.126,0.703
1996-04-14,0.09818,-0.00803,0.01878,-0.03146,-0.02763,0.04294,0.02552,0.0046,0.09358,-0.01263,0.01418,-0.03606,-0.03223,0.03834,0.02092,9.358,-1.263,1.418,-3.606,-3.223,3.834,2.092
1996-05-14,0.04857,0.0712,0.0235,-0.00603,-0.02016,0.00635,0.0268,0.0042,0.04437,0.067,0.0193,-0.01023,-0.02436,0.00215,0.0226,4.437,6.7,1.93,-1.023,-2.436,0.215,2.26
1996-06-14,0.01158,0.04834,-0.04989,-0.0726,0.03498,0.02507,-0.00828,0.004,0.00758,0.04434,-0.05389,-0.0766,0.03098,0.02107,-0.01228,0.758,4.434,-5.389,-7.66,3.098,2.107,-1.228
