obs,pizza,income,age1,age
1,109,15000,25,1
2,0,30000,45,0
3,0,12000,20,1
4,108,20000,28,0
5,220,15000,25,1
6,189,30000,35,0
7,64,12000,40,0
8,262,12000,22,1
9,64,28000,30,0
10,35,22000,21,1
11,94,44000,40,0
12,71,10000,21,1
13,403,222000,45,0
14,41,32000,36,0
15,10,45000,36,0
16,110,55000,40,0
17,239,29000,23,1
18,63,39000,32,0
19,0,70000,52,0
20,106,55000,30,0
21,0,90000,45,0
22,141,6000,32,0
23,299,18000,20,1
24,148,55000,55,0
25,424,10000,18,1
26,242,23000,30,0
27,119,35000,45,0
28,338,38000,40,0
29,135,45000,50,0
30,590,85000,32,0
31,324,22000,30,0
32,87,25000,51,0
33,395,29000,22,1
34,513,132000,40,0
35,56,35000,30,0
36,400,80000,36,0
37,384,55000,27,0
38,262,30000,24,1
39,336,27000,21,1
40,281,80000,45,0
